"CITY","total_contributions","number_of_contributions"
"PT REYES STA",200,2
"RACKERBY",200,3
"REDWOOD ESTATES",200,2
"ROSAMOND",200,2
"S PASADENA",200,2
"SHERIDAN",200,2
"SHINGLETOWN",200,5
"SIERRAVILLE",200,1
"SN LUIS OBISP",200,2
"THERMAL",200,2
"TRINITY CENTER",200,2
"TWIN PEAKS",200,2
"WALNUT GROVE",200,2
"WEAVERVILLE",200,2
"WILLOW CREEK",200,2
"YOSEMITE NATIONAL PARK",200,2
"BRIDGEPORT",195,5
"CRESCENT MILLS",195,4
"TEMESCAL VALLEY",190,5
"HORNBROOK",185,3
"SAN QUENTIN",185,4
"OAK RUN",184,5
"FORT JONES",180,12
"IONE",180,4
"BIG PINE",175,3
"NEWMAN",175,12
"CUTLER",170,3
"WILLIAMS",170,7
"YOLO",165,9
"ADELANTO",155,4
"BIG OAK VLY",155,7
"CAPAY",150,5
"COVELO",150,5
"FRAZIER PARK",150,2
"GONZALES",150,2
"GREENFIELD",150,2
"HERALD",150,2
"HOPLAND",150,5
"KAGEL CANYON",150,12
"LEONA VALLEY",150,3
"LOS ANGELES AFB",150,2
"LUCERNE",150,2
"MORADA",150,2
"OCOTILLO",150,2
"RANCHO BELAGO",150,3
"RIVERDALE",150,2
"SANTA YSABEL",150,2
"SCOTT BAR",150,2
"TALMAGE",150,2
"WEST MENLO PARK",150,2
"HOLTVILLE",145,3
"BUTTE VALLEY",140,5
"LIVINGSTON",140,5
"VINEBURG",140,5
"BODFISH",135,2
"CAMPO",135,3
"DEER PARK",135,2
"PINE MOUNTAIN CLUB",135,2
"RUNNING SPRINGS",135,2
"LAKE VIEW TERRACE",130,4
"DSRT HOT SPGS",128,6
"BYRON",125,4
"MONARCH BEACH",125,2
"MONTE NIDO",125,2
"NILAND",125,3
"QUAIL VALLEY",125,2
"TAFT",125,2
"RIO OSO",123,8
"SAN JUAN CAPO",120,3
"LITTLERIVER",113,6
"COBB",110,3
"WOFFORD HEIGHTS",110,3
"BRIDGEVILLE",105,3
"SUNOL",105,5
"ALDERPOINT",100,1
"ANNAPOLIS",100,1
"BALLARD",100,1
"BARSTOW",100,2
"BECKWOURTH",100,1
"BELL",100,1
"BETHEL ISLAND",100,1
"BIGGS",100,1
"BLOOMINGTON",100,1
"BOWMAN",100,1
"BROOKS",100,1
"BROWNS VALLEY",100,1
"BURSON",100,2
"CABAZON",100,1
"CANYON",100,1
"CASPAR",100,2
"CHICAGO PARK",100,1
"CHINESE CAMP",100,1
"COHASSET",100,1
"COLMA",100,1
"CORNELL",100,1
"DELHI",100,1
"DOUGLAS FLAT",100,2
"EAGLE ROCK",100,1
"FORT IRWIN",100,1
"GREEN VALLEY LAKE",100,1
"GUINDA",100,1
